Dates  Checkins	Stock Price
2013010516	9	536.97
2013010517	11	536.22
2013010518	11	527.53
2013010519	7	529.08
2013010520	10	529.81
2013010521	10	999.99
2013010522	9	536.00
2013010523	7	536.00
2013010600	6	536.00
2013010601	0	536.00
2013010602	4	536.00
2013010603	2	536.00
2013010604	1	536.00
2013010605	0	536.00
2013010606	1	536.00
2013010607	0	536.00
2013010608	1	536.00
2013010609	3	536.00
2013010610	1	536.00
2013010611	8	536.00
2013010612	13	536.00
2013010613	13	536.00
2013010614	14	536.00
2013010615	10	536.00
2013010616	9	536.00
2013010617	12	536.00
2013010618	15	536.00
2013010619	11	536.00
2013010620	14	536.00
2013010621	3	536.00
2013010622	4	536.00
2013010623	3	536.00
2013010700	5	536.00
2013010701	5	536.00
2013010702	1	536.00
2013010703	0	536.00
2013010705	0	525.38
2013010706	0	525.81
2013010707	1	525.74
2013010708	1	522.79
2013010709	4	520.95
2013010710	6	518.48
2013010711	1	521.09
2013010712	8	525.63
2013010713	14	521.78
2013010714	16	521.68
2013010715	7	521.02
2013010716	11	523.66
